marca,categoria,subcategoria,linea,producto,descripcion,aplicaciones,caracteristicas,specs,sku,variante,atributos,imagenes
SPAR,Bisagras,Para puertas de paso,Omega,"Bisagra Mini Omega 2""",Fabricada con chapa de acero laminada en frío calibre 18. Con recubrimiento de Zinc Iris.,"Especial para puertas pequeñas media altura, recepciones o mostradores y mobiliario en general.",Ángulo máximo de apertura de 180°|Soporta puertas con peso hasta de 15 Kg|Peso por par: 26 g|Unidad de empaque: Pares,Capacidad de peso=15 Kg,10003934,BISAGRA MINI OMEGA 2'' MUEBLE BO-10,,
SPAR,Bisagras,Para puertas de paso,Omega,"Bisagra Omeguita 3 1/2""",Fabricada en chapa de acero laminada en frío calibre 16. Recubrimiento electrolítico de Zinc Iris (protege de la corrosión).,"Especial para puertas de paso a media altura, recepciones o mostradores y mobiliario.",Ángulo máximo de apertura de 180°|Soporta puertas con peso hasta de 40 Kg|Peso por par: 80 g,Capacidad de peso=40 Kg,10003935,"BISAGRA OMEGUITA 3 1/2"" MUEBLE BO-16",,
SPAR,Bisagras,Para puertas de paso,Omega,"Bisagra Omega 3""",Fabricada en chapa de acero laminada en frío calibre 14. Recubrimiento electrolítico de Zinc Iris (protege de la corrosión).,Puede utilizarse en puertas de comunicación o puertas de paso piso–techo.,Ángulo máximo de apertura de 180°|Soporta puertas con peso hasta de 50 Kg|Peso por par: 150 g|Unidad de empaque: Pares,Capacidad de peso=50 Kg,10003937,BISAGRA OMEGA 3'' PUERTAS DE PASO NIQUELADA BO-90 NI,acabado=Niquelado,
SPAR,Bisagras,Para puertas de paso,Omega,"Bisagra Omega 3""",Fabricada en chapa de acero laminada en frío calibre 14. Recubrimiento electrolítico de Zinc Iris (protege de la corrosión).,Puede utilizarse en puertas de comunicación o puertas de paso piso–techo.,Ángulo máximo de apertura de 180°|Soporta puertas con peso hasta de 50 Kg|Peso por par: 150 g|Unidad de empaque: Pares,Capacidad de peso=50 Kg,10003938,BISAGRA OMEGA 3'' PUERTAS DE PASO PLATEADA BO-90Z,acabado=Plateado,
SPAR,Bisagras,Para puertas de paso,Super Omega,"Bisagra Super Omega 3 1/2""",Fabricada en chapa de acero laminada en frío calibre 14. Recubrimiento electrolítico de Zinc Iris.,Puede utilizarse en puertas de comunicación.,Ángulo máximo de apertura de 180°|Soporta puertas con peso hasta de 65 Kg|Peso por par: 172 g|Unidad de empaque: 2 pares,Capacidad de peso=65 Kg,10003940,"BISAGRA SUPER OMEGA 3 1/2"" PUERTAS DE PASO 92/Z",,
SPAR,Bisagras,Para puertas de paso,Super Omega,"Bisagra Super Omega 3 1/2""",Fabricada en chapa de acero laminada en frío calibre 14. Recubrimiento electrolítico de Zinc Iris.,Puede utilizarse en puertas de comunicación.,Ángulo máximo de apertura de 180°|Soporta puertas con peso hasta de 65 Kg|Peso por par: 172 g|Unidad de empaque: 2 pares,Capacidad de peso=65 Kg,10028118,BISAGRA SUPER OMEGA PUERTAS DE PASO ALUMINIO BO-93,material=Aluminio,
SPAR,Bisagras,Para puertas de paso,,Pivote para puerta de paso,En acero con acabado galvanizado y buje en nylon.,Ideal para puertas de paso.,Soporta puertas con peso hasta de 80 Kg|Unidad de empaque: Pivote superior e inferior + platina + buje,Capacidad de peso=80 Kg,10004065,PIVOTE PUERTA 60MM BUJE 50MM PUERTAS DE PASO PIV50,,
SPAR,Bisagras,Para mueble,Torino,Bisagra Torino parche y semiparche,Fabricada con chapa de acero niquelado. Cazoleta de 35 mm.,,Ángulo máximo de apertura de 110°|Montaje para puerta de 14 mm - 26 mm|Calibre: 0.6 / 0.9 / 0.9,Capacidad de peso=5 Kg|Resistencia a la corrosión=24 hr|Ciclos de vida=30.000,10025237,Bisagra Torino Parche 35MM-110° C/T 4800 4H,tipo=Parche|tornillos=Con tornillos,
SPAR,Bisagras,Para mueble,Torino,Bisagra Torino parche y semiparche,Fabricada con chapa de acero niquelado. Cazoleta de 35 mm.,,Ángulo máximo de apertura de 110°|Montaje para puerta de 14 mm - 26 mm|Calibre: 0.6 / 0.9 / 0.9,Capacidad de peso=5 Kg|Resistencia a la corrosión=24 hr|Ciclos de vida=30.000,10025238,Bisagra Torino Semiparche 35MM-110° C/T 48084 4H,tipo=Semiparche|tornillos=Con tornillos,
SPAR,Bisagras,Para mueble,Torino,Bisagra Torino parche y semiparche,Fabricada con chapa de acero niquelado. Cazoleta de 35 mm.,,Ángulo máximo de apertura de 110°|Montaje para puerta de 14 mm - 26 mm|Calibre: 0.6 / 0.9 / 0.9,Capacidad de peso=5 Kg|Resistencia a la corrosión=24 hr|Ciclos de vida=30.000,10029449,Bisagra Torino Parche 35MM-110° S/T 4800 4H,tipo=Parche|tornillos=Sin tornillos,
